Belgie,134.1
Frankrijk,255.0
Spanje,217.7
Portugal,49.5
Oostenrijk,110.4
Zwitserland,25.2
Groot-Brittannie,85.3
Scandinavie,32.6
Duitsland,351.9
Italie,117.5
Griekenland,51.0
Tsjechie,22.4
Turkije,49.7
Verre Oosten,33.0
Verenigde Staten,41.6
Overige landen,148.1
